rank,candidate_id,name,experience_years,degree,skill_match_pct,matched_skills,missing_skills,certifications,previous_companies,final_score,fit_tier
1,C0003,Karan Patel,8.7,B.Tech IT,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,2,4,95.0,Strong Fit
2,C0101,Vikram Chopra,7.6,B.Com,91.1,"Python, SQL, Power BI, Statistics, Machine Learning, Tableau, Communication",Excel,4,4,93.9,Strong Fit
3,C0014,Ananya Joshi,6.0,B.Tech IT,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,4,4,93.8,Strong Fit
4,C0039,Vikram Mehta,8.2,MBA Analytics,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,3,2,92.5,Strong Fit
5,C0080,Manish Bhatt,9.5,B.Tech Computer Science,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,3,1,90.0,Strong Fit
6,C0117,Suresh Iyer,9.9,B.E Electronics,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,0,4,90.0,Strong Fit
7,C0037,Sanjay Patel,9.9,B.Com,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,2,2,90.0,Strong Fit
8,C0106,Arjun Mehta,5.6,M.Sc Statistics,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,2,4,87.5,Strong Fit
9,C0048,Meera Patel,8.6,M.Sc Computer Science,88.9,"Python, SQL, Excel, Statistics, Machine Learning, Tableau, Communication",Power BI,3,2,86.4,Strong Fit
10,C0049,Amit Sharma,9.4,MCA,88.9,"Python, SQL, Excel, Statistics, Machine Learning, Tableau, Communication",Power BI,3,2,86.4,Strong Fit
11,C0100,Suresh Verma,7.4,MCA,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,3,0,85.6,Strong Fit
12,C0009,Gaurav Desai,5.6,M.Sc Computer Science,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,1,4,85.0,Strong Fit
13,C0016,Kritika Kapoor,2.8,MCA,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,4,4,83.8,Strong Fit
14,C0111,Nisha Iyer,9.2,M.Sc Computer Science,83.3,"SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",Python,2,3,83.3,Strong Fit
15,C0065,Tanya Mehta,8.0,B.Tech Computer Science,83.3,"SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",Python,3,2,83.3,Strong Fit
16,C0118,Neha Desai,8.1,MCA,83.3,"SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",Python,4,1,83.3,Strong Fit
17,C0025,Neha Das,5.6,B.Sc Mathematics,92.2,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau",Communication,4,2,83.2,Strong Fit
18,C0023,Kavya Reddy,7.2,B.Com,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,1,1,82.5,Strong Fit
19,C0043,Divya Agarwal,8.4,M.Tech Data Science,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,0,1,82.5,Strong Fit
20,C0001,Divya Sharma,3.7,B.E Electronics,92.2,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau",Communication,4,4,82.3,Strong Fit
21,C0108,Sneha Menon,8.2,B.E Electronics,72.2,"SQL, Excel, Statistics, Machine Learning, Tableau, Communication","Python, Power BI",4,3,82.2,Strong Fit
22,C0044,Karan Sharma,9.2,B.E Electronics,85.6,"Python, SQL, Excel, Power BI, Statistics, Tableau, Communication",Machine Learning,3,1,82.1,Strong Fit
23,C0105,Simran Das,7.5,M.Sc Computer Science,74.4,"Python, SQL, Excel, Power BI, Statistics, Communication","Machine Learning, Tableau",4,3,81.9,Strong Fit
24,C0004,Rajesh Nair,9.7,B.Sc Mathematics,83.3,"SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",Python,1,3,80.8,Strong Fit
25,C0059,Payal Joshi,9.8,B.Tech Computer Science,92.2,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau",Communication,0,2,80.7,Strong Fit
26,C0083,Priya Chopra,8.0,B.E Electronics,77.8,"Python, SQL, Excel, Statistics, Machine Learning, Communication","Power BI, Tableau",2,3,80.3,Strong Fit
27,C0099,Swati Patel,9.3,B.Com,77.8,"Python, SQL, Excel, Power BI, Statistics, Tableau","Machine Learning, Communication",1,4,80.3,Strong Fit
28,C0089,Tanya Iyer,6.9,M.Sc Computer Science,92.2,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau",Communication,3,0,79.8,Strong Fit
29,C0019,Payal Bhatt,7.9,B.Tech IT,91.1,"Python, SQL, Power BI, Statistics, Machine Learning, Tableau, Communication",Excel,1,1,79.8,Strong Fit
30,C0087,Gaurav Patel,6.2,M.Tech Data Science,85.6,"Python, SQL, Excel, Power BI, Statistics, Tableau, Communication",Machine Learning,4,1,79.0,Strong Fit
31,C0063,Ritu Joshi,7.0,B.Tech IT,88.9,"Python, SQL, Excel, Statistics, Machine Learning, Tableau, Communication",Power BI,1,2,78.3,Strong Fit
32,C0042,Priya Patel,6.5,MBA Analytics,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,0,1,77.8,Strong Fit
33,C0027,Gaurav Iyer,1.6,B.Sc Mathematics,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,4,3,77.5,Strong Fit
34,C0090,Meera Das,8.0,B.E Electronics,72.2,"SQL, Excel, Statistics, Machine Learning, Tableau, Communication","Python, Power BI",1,4,77.2,Strong Fit
35,C0081,Sanjay Joshi,6.3,B.Com,66.7,"Python, SQL, Excel, Power BI, Statistics","Machine Learning, Tableau, Communication",4,4,76.4,Strong Fit
36,C0045,Varun Desai,9.8,B.Sc Mathematics,88.9,"Python, SQL, Excel, Statistics, Machine Learning, Tableau, Communication",Power BI,1,0,76.4,Strong Fit
37,C0074,Deepak Patel,9.2,M.Sc Statistics,74.4,"Python, SQL, Excel, Statistics, Tableau, Communication","Power BI, Machine Learning",0,4,75.9,Strong Fit
38,C0041,Priyanka Rao,6.8,M.Tech Data Science,74.4,"Python, Power BI, Statistics, Machine Learning, Tableau, Communication","SQL, Excel",2,3,74.7,Moderate Fit
39,C0031,Swati Verma,3.0,M.Tech Data Science,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,4,0,74.4,Moderate Fit
40,C0114,Gaurav Agarwal,2.8,M.Sc Computer Science,86.7,"Python, SQL, Excel, Power BI, Machine Learning, Tableau, Communication",Statistics,3,4,73.9,Moderate Fit
41,C0022,Deepak Agarwal,5.6,MBA Analytics,92.2,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau",Communication,2,0,73.2,Moderate Fit
42,C0119,Sunil Mehta,4.2,MBA Analytics,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,1,1,73.1,Moderate Fit
43,C0071,Shreya Kumar,9.7,B.E Electronics,77.8,"Python, SQL, Excel, Power BI, Statistics, Tableau","Machine Learning, Communication",0,2,72.8,Moderate Fit
44,C0007,Sanjay Kumar,5.9,B.Tech IT,70.0,"Python, Excel, Power BI, Machine Learning, Tableau, Communication","SQL, Statistics",2,4,71.9,Moderate Fit
45,C0011,Ashok Rao,8.3,M.Sc Statistics,66.7,"Python, SQL, Power BI, Machine Learning, Communication","Excel, Statistics, Tableau",3,1,71.7,Moderate Fit
46,C0088,Manoj Rao,6.8,MBA Analytics,77.8,"Python, SQL, Excel, Statistics, Machine Learning, Communication","Power BI, Tableau",0,3,71.5,Moderate Fit
47,C0097,Priya Menon,0.9,B.Tech IT,100.0,"Python, SQL, Excel, Power BI, Statistics, Machine Learning, Tableau, Communication",,3,2,70.3,Moderate Fit
48,C0067,Priya Desai,4.7,B.Com,91.1,"Python, SQL, Power BI, Statistics, Machine Learning, Tableau, Communication",Excel,1,1,69.8,Moderate Fit
49,C0055,Swati Agarwal,7.9,M.Sc Computer Science,50.0,"SQL, Excel, Power BI, Statistics","Python, Machine Learning, Tableau, Communication",4,3,69.7,Moderate Fit
