candidate_id,name,email,experience_years,degree,skills,certifications,previous_companies
C0001,Divya Sharma,divya.sharma1@email.com,3.7,B.E Electronics,"Python, Machine Learning, Tableau, Power BI, Excel, SQL, Leadership, Data Visualization, Statistics",4,4
C0002,Varun Reddy,varun.reddy2@email.com,1.6,MBA Analytics,"Statistics, Machine Learning, Communication, SQL, Excel, Python",2,2
C0003,Karan Patel,karan.patel3@email.com,8.7,B.Tech IT,"Statistics, Java, SQL, Excel, Project Management, C++, Tableau, Python, Machine Learning, Docker, Communication, Data Visualization, Power BI",2,4
C0004,Rajesh Nair,rajesh.nair4@email.com,9.7,B.Sc Mathematics,"Statistics, Excel, Leadership, Docker, Machine Learning, Communication, Data Visualization, AWS, SQL, Power BI, Deep Learning, Tableau, Java, C++",1,3
C0005,Vikram Rao,vikram.rao5@email.com,1.8,M.Sc Statistics,"Communication, Machine Learning, Statistics, SQL, Power BI",4,3
C0006,Kritika Agarwal,kritika.agarwal6@email.com,0.2,MBA Analytics,"Statistics, Docker, Machine Learning",3,3
C0007,Sanjay Kumar,sanjay.kumar7@email.com,5.9,B.Tech IT,"Python, Communication, Deep Learning, Tableau, AWS, Machine Learning, Power BI, Excel, Leadership",2,4
C0008,Ashok Nair,ashok.nair8@email.com,4.5,B.Sc Mathematics,"C++, AWS, Statistics, Python, Excel, Machine Learning",0,3
C0009,Gaurav Desai,gaurav.desai9@email.com,5.6,M.Sc Computer Science,"Tableau, Python, Statistics, SQL, Machine Learning, Excel, Communication, Power BI",1,4
C0010,Sneha Patel,sneha.patel10@email.com,2.3,M.Sc Statistics,"Communication, Python, SQL, Tableau, Statistics, Machine Learning",3,4
C0011,Ashok Rao,ashok.rao11@email.com,8.3,M.Sc Statistics,"Python, Docker, AWS, Java, Data Visualization, R, Machine Learning, Deep Learning, SQL, Power BI, C++, Communication",3,1
C0012,Vikram Verma,vikram.verma12@email.com,6.6,B.Com,"Excel, Data Visualization, Machine Learning, R, Project Management, SQL, Python, Java, Statistics",1,3
C0013,Aditya Malhotra,aditya.malhotra13@email.com,1.8,B.Tech IT,"Project Management, Tableau, Deep Learning",1,3
C0014,Ananya Joshi,ananya.joshi14@email.com,6.0,B.Tech IT,"Tableau, Python, AWS, Communication, Deep Learning, Machine Learning, Power BI, SQL, Excel, Statistics",4,4
C0015,Ritu Singh,ritu.singh15@email.com,2.7,B.Com,"Python, Machine Learning, Power BI, Communication, Excel, Tableau, SQL",1,0
C0016,Kritika Kapoor,kritika.kapoor16@email.com,2.8,MCA,"Machine Learning, Communication, Power BI, SQL, Tableau, Python, Statistics, Excel",4,4
C0017,Vikram Desai,vikram.desai17@email.com,0.7,B.Sc Mathematics,"Power BI, Communication, Machine Learning, Excel, SQL, Statistics, Python",0,3
C0018,Kavya Menon,kavya.menon18@email.com,2.9,M.Tech Data Science,"Excel, R, Power BI, Deep Learning, Statistics, Java",0,2
C0019,Payal Bhatt,payal.bhatt19@email.com,7.9,B.Tech IT,"Communication, Python, Tableau, SQL, Machine Learning, Java, Power BI, Deep Learning, C++, Statistics, R",1,1
C0020,Arjun Nair,arjun.nair20@email.com,1.2,B.E Electronics,"SQL, Statistics, Excel, Power BI, Machine Learning, Python, Communication",3,1
C0021,Priyanka Nair,priyanka.nair21@email.com,1.0,MCA,"SQL, Java, Machine Learning, Communication, R, Python",3,2
C0022,Deepak Agarwal,deepak.agarwal22@email.com,5.6,MBA Analytics,"Power BI, Excel, SQL, R, Tableau, Statistics, Machine Learning, Python, Project Management",2,0
C0023,Kavya Reddy,kavya.reddy23@email.com,7.2,B.Com,"Communication, Power BI, SQL, Java, Excel, Deep Learning, Machine Learning, Tableau, Python, Statistics",1,1
C0024,Rohan Kapoor,rohan.kapoor24@email.com,4.4,B.Tech IT,"C++, Communication, Statistics, Excel, SQL, Python, Power BI",0,3
